Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Soil_Type,Season,Rainfall(mm),Nitrogen,Phosphorus,Potassium,pH_Value,Crop
1.6,Flood,15,66,Sandy,Summer,178,79,37,68,5.9,Papaya
4.5,Sprinkler,48,40,Clay,Summer,114,76,37,54,7.4,Sunflower Seeds
3.7,Flood,45,56,Clay,Monsoon,192,94,46,72,6.0,Soybean
4.8,Sprinkler,39,31,Sandy,Rainy,197,76,31,54,6.4,Chili
3.5,Drip,31,38,Loam,Monsoon,100,72,34,75,5.6,Avocado
2.5,Drip,28,70,Sandy,Summer,136,56,49,65,7.3,Garlic
1.6,Sprinkler,22,57,Sandy,Winter,246,96,40,74,6.8,Mango
3.0,Drip,56,54,Loam,Winter,193,85,24,53,6.8,Radish
4.6,Sprinkler,22,59,Clay,Monsoon,207,91,27,72,5.9,Pumpkin Seeds
4.5,Drip,32,22,Loam,Winter,186,96,28,75,6.9,Kidney Bean
4.2,Drip,63,11,Sandy,Winter,148,90,38,80,7.2,Onion
1.0,Drip,55,53,Loam,Winter,178,97,20,53,6.1,Apple
2.9,Drip,65,14,Loam,Winter,238,80,45,59,6.9,Pomegranate
2.4,Drip,50,13,Loam,Monsoon,204,93,36,76,6.4,Black Bean
1.6,Sprinkler,25,23,Sandy,Summer,239,61,35,73,6.5,Garlic
2.2,Sprinkler,57,68,Loam,Summer,122,94,31,64,6.7,Taro
2.4,Flood,60,23,Clay,Rainy,166,60,50,73,7.3,Turmeric
4.9,Sprinkler,44,58,Loam,Summer,211,53,34,75,7.5,Mung Bean
3.9,Drip,59,51,Loam,Winter,199,91,32,78,5.9,Sunflower
2.6,Flood,40,41,Clay,Summer,227,86,37,63,6.1,Jute
3.2,Drip,40,25,Loam,Rainy,195,83,20,50,7.1,Barley
3.6,Drip,10,10,Sandy,Winter,181,71,29,71,6.3,Sesame
3.4,Flood,28,45,Clay,Rainy,211,56,37,70,5.6,Chickpea
4.8,Flood,20,10,Clay,Summer,211,91,44,51,5.7,Onion
3.3,Drip,60,19,Loam,Monsoon,125,81,28,63,6.1,Safflower
1.7,Sprinkler,42,51,Clay,Summer,216,82,48,50,6.9,Barley
3.3,Flood,46,28,Clay,Monsoon,222,74,23,57,6.7,Jute
4.3,Drip,36,39,Sandy,Winter,133,51,36,72,7.0,Maize
3.7,Drip,19,26,Sandy,Rainy,208,90,48,52,5.9,Tobacco
3.4,Drip,16,24,Clay,Rainy,183,58,25,64,5.5,Cassava
1.9,Flood,38,59,Clay,Rainy,141,98,39,61,5.9,Avocado
1.2,Drip,54,59,Sandy,Rainy,140,60,25,77,7.4,Garlic
4.0,Sprinkler,52,62,Sandy,Summer,104,64,41,52,6.7,Tea
2.0,Drip,60,64,Loam,Winter,139,94,43,68,6.6,Maize
2.4,Drip,59,49,Sandy,Rainy,195,86,37,59,5.7,Lemon
1.5,Sprinkler,10,37,Sandy,Summer,127,84,21,59,6.7,Cauliflower
4.8,Drip,27,36,Clay,Monsoon,206,80,34,61,6.9,Papaya
3.0,Drip,11,65,Clay,Summer,158,77,21,60,6.6,Watermelon
1.4,Drip,48,25,Sandy,Winter,205,53,48,65,5.7,Spinach
3.7,Drip,16,46,Loam,Summer,177,100,42,77,7.0,Coffee
2.8,Drip,53,62,Sandy,Summer,111,85,35,55,6.3,Kidney Bean
3.6,Sprinkler,70,38,Sandy,Summer,245,93,20,67,6.9,Mint
4.2,Flood,50,57,Sandy,Rainy,132,78,48,65,6.0,Hemp
4.9,Flood,57,23,Clay,Winter,226,70,44,73,7.0,Apple
1.9,Sprinkler,12,17,Sandy,Monsoon,236,66,33,79,7.3,Sesame
4.2,Drip,57,13,Clay,Summer,212,77,47,78,5.9,Chili Pepper
2.7,Drip,28,43,Clay,Rainy,189,100,32,61,7.1,Sunflower
2.8,Drip,45,20,Loam,Summer,136,83,24,80,5.8,Mushroom
4.7,Sprinkler,10,58,Clay,Winter,125,74,27,73,6.1,Avocado
3.5,Drip,14,26,Loam,Rainy,184,74,25,77,6.9,Cassava
3.5,Sprinkler,46,66,Sandy,Monsoon,226,88,23,80,7.3,Wheat
2.6,Flood,42,33,Loam,Monsoon,227,64,34,57,6.3,Cotton
2.4,Flood,31,47,Sandy,Summer,138,78,50,53,7.1,Flax Seeds
1.4,Drip,32,53,Sandy,Rainy,111,50,42,68,6.9,Black Bean
2.9,Drip,56,34,Sandy,Winter,184,89,24,52,7.2,Black Bean
2.2,Flood,22,48,Sandy,Winter,202,88,21,80,6.8,Sesame
4.4,Sprinkler,24,37,Loam,Monsoon,220,51,34,76,6.4,Navy Bean
1.1,Flood,55,47,Sandy,Summer,155,64,34,74,7.5,Cucumber
4.3,Sprinkler,61,60,Clay,Winter,167,93,31,76,6.7,Flax Seeds
2.9,Flood,55,51,Clay,Monsoon,229,87,35,71,7.4,Mustard
4.2,Drip,14,24,Loam,Summer,138,84,35,55,6.5,Chickpea
2.3,Sprinkler,68,17,Sandy,Winter,173,96,25,78,5.7,Chili
2.6,Sprinkler,20,63,Loam,Rainy,180,61,27,70,7.3,Yam
4.1,Drip,29,66,Clay,Winter,199,54,20,69,6.4,Oats
2.7,Sprinkler,46,68,Sandy,Rainy,180,74,36,70,7.4,Sweet Potato
1.9,Drip,45,58,Clay,Winter,222,54,44,68,6.8,Brinjal
1.3,Drip,54,50,Loam,Rainy,222,91,43,50,6.1,Mushroom
1.0,Flood,52,18,Clay,Summer,110,51,36,66,5.8,Mustard
2.5,Drip,50,32,Clay,Monsoon,234,57,31,69,6.9,Mustard
4.4,Flood,28,49,Sandy,Winter,234,81,32,74,7.0,Sweet Potato
2.8,Sprinkler,12,41,Loam,Monsoon,186,94,47,52,6.1,Watermelon
2.5,Flood,53,44,Sandy,Rainy,210,95,27,80,5.6,Kale
2.6,Drip,47,46,Loam,Monsoon,232,68,46,76,6.5,Pumpkin
1.7,Drip,64,41,Clay,Winter,242,55,27,57,6.5,Soybean
4.1,Flood,22,57,Sandy,Rainy,151,70,49,50,7.3,Kale
3.3,Sprinkler,59,65,Loam,Monsoon,151,63,30,60,7.4,Papaya
3.8,Sprinkler,62,36,Clay,Monsoon,233,66,38,80,7.2,Chili
4.3,Sprinkler,45,69,Sandy,Summer,204,56,39,58,5.7,Oats
2.6,Sprinkler,27,40,Sandy,Rainy,152,86,28,55,6.2,Wheat
1.1,Flood,20,22,Clay,Winter,158,55,33,66,6.6,Mushroom
3.9,Sprinkler,27,69,Clay,Winter,163,79,34,79,5.9,Broad Bean
4.7,Drip,54,29,Clay,Winter,197,73,20,50,6.3,Kale
1.5,Drip,25,28,Clay,Monsoon,228,95,43,55,5.9,Safflower
1.9,Flood,70,38,Loam,Rainy,124,94,35,65,5.9,Peanut
4.0,Drip,68,11,Loam,Rainy,187,65,33,59,6.2,Cabbage
5.0,Drip,32,54,Sandy,Summer,216,92,42,66,6.3,Groundnut
